iter	RMSE
0	1.317552974
1	1.294476463
2	1.274215552
3	1.255227647
4	1.236732649
5	1.218406881
6	1.201857448
7	1.185214053
8	1.170126415
9	1.15679073
10	1.141491982
11	1.128060766
12	1.116804022
13	1.104663754
14	1.093636469
15	1.083379121
16	1.074018978
17	1.063095398
18	1.054324042
19	1.043625003
20	1.035101433
21	1.026683752
22	1.018285707
23	1.010303811
24	1.002814104
25	0.9967603966
26	0.9902756466
27	0.9821989395
28	0.9764468797
29	0.9717364489
30	0.9663122123
31	0.9613123056
32	0.956323702
33	0.951862584
34	0.9478029103
35	0.9441066773
36	0.9397331946
37	0.9360227271
38	0.9316399177
39	0.9280283878
40	0.9242323269
41	0.9208229764
42	0.9180117449
43	0.9143778393
44	0.9109235248
45	0.9078206873
46	0.9047145315
47	0.9017437356
48	0.8990312723
49	0.8962904449
50	0.893502004
51	0.8913071121
52	0.8883411988
53	0.8859868159
54	0.8835306543
55	0.8813312243
56	0.8789062586
57	0.8768922515
58	0.8745757733
59	0.8715478793
60	0.8692871553
61	0.8671223246
62	0.8652367711
63	0.8630405692
64	0.8603195443
65	0.857854742
66	0.8560063017
67	0.853198931
68	0.8515505842
69	0.8489568948
70	0.8475242389
71	0.8458550282
72	0.8444780628
73	0.8417042737
74	0.8402998805
75	0.8381452179
76	0.8360309845
77	0.8347481657
78	0.8330440599
79	0.8314866869
80	0.8300426682
81	0.829075882
82	0.827656784
83	0.8257834067
84	0.8239029297
85	0.8221736109
86	0.820553846
87	0.8186333285
88	0.816339104
89	0.8143989816
90	0.8134350874
91	0.8116529809
92	0.8102545375
93	0.8088797092
94	0.8070914881
95	0.8055580998
96	0.8039517344
97	0.8029932541
98	0.8012327901
99	0.7998121183
100	0.7985168767
101	0.7965897227
102	0.7955089424
103	0.7940585373
104	0.7919877295
105	0.7908136533
106	0.7894884896
107	0.7882311178
108	0.7871333522
109	0.7858904736
110	0.7844131265
111	0.783411427
112	0.7823329543
113	0.7813006231
114	0.7800180736
115	0.7781996292
116	0.7766774876
117	0.775529496
118	0.7739438565
119	0.7725587914
120	0.7715285498
121	0.7705847315
122	0.7691879383
123	0.7680986789
124	0.7662975646
125	0.7648789236
126	0.7634719964
127	0.7623605408
128	0.7611435569
129	0.7598022278
130	0.7587685579
131	0.7578167541
132	0.7570272077
133	0.7559769643
134	0.7550585546
135	0.7540120038
136	0.7531666697
137	0.7519292213
138	0.7507045262
139	0.7495766251
140	0.7484839592
141	0.7476994455
142	0.746915372
143	0.7457712027
144	0.7450538829
145	0.7442031976
146	0.7432138231
147	0.7420739636
148	0.7412435047
149	0.7400416504
150	0.7390752824
151	0.7382678207
152	0.7370568097
153	0.7361238087
154	0.7351726309
155	0.7342485826
156	0.7334845548
157	0.7325276329
158	0.7317204284
159	0.7305215467
160	0.7297644084
161	0.7285262276
162	0.7273233266
163	0.7263663292
164	0.7251594199
165	0.7241967028
166	0.7232012146
167	0.7223464049
168	0.7212129981
169	0.7202519948
170	0.7188753967
171	0.7179764586
172	0.7168495828
173	0.7157623435
174	0.7148440333
175	0.713697178
176	0.7125946658
177	0.7113508778
178	0.7099591921
179	0.7092358937
180	0.7081617562
181	0.706871204
182	0.7058551512
183	0.7041323531
184	0.7025529464
185	0.7015666173
186	0.7005610609
187	0.6988122225
188	0.6980435641
189	0.697170084
190	0.6961099791
191	0.6950628009
192	0.6939710333
193	0.6926288364
194	0.6911858304
195	0.6900196744
196	0.6891081417
197	0.6881532998
198	0.68718178
199	0.6862182525
200	0.6852033952
201	0.684372654
202	0.682959193
203	0.6817587365
204	0.6804693058
205	0.6795696265
206	0.6786510769
207	0.6775751901
208	0.6766610341
209	0.6753579084
210	0.6744088055
211	0.6733070246
212	0.672066113
213	0.6708814524
214	0.6700877277
215	0.6695162598
216	0.6683061347
217	0.6676021996
218	0.6667520237
219	0.6659110822
220	0.6648989586
221	0.6638504091
222	0.6625174402
223	0.6612566574
224	0.660217071
225	0.6593290301
226	0.6580264518
227	0.6572965198
228	0.6560216909
229	0.6548955999
230	0.6536295774
231	0.6522400214
232	0.6511171764
233	0.6500695528
234	0.6490695319
235	0.6477824791
236	0.646639339
237	0.6458273904
238	0.6446519877
239	0.6435765955
240	0.6424734362
241	0.6417322153
242	0.6405934322
243	0.6394849097
244	0.6384171594
245	0.6373706577
246	0.6363343026
247	0.6356616601
248	0.6348451747
249	0.6336086884
250	0.632375754
251	0.631528991
252	0.6304165455
253	0.6296298236
254	0.6284801034
255	0.6276043388
256	0.6264609482
257	0.6254517573
258	0.6247475744
259	0.6239359476
260	0.6226783445
261	0.6216586865
262	0.6206516684
263	0.6191805265
264	0.6184086394
265	0.6173915421
266	0.6165198643
267	0.6151759316
268	0.6142090305
269	0.613136087
270	0.6122404999
271	0.6111578045
272	0.6103599368
