iter	Passed	Remaining
0	155	155518
1	214	106953
2	273	90803
3	330	82308
4	390	77718
5	450	74564
6	510	72368
7	570	70697
8	628	69202
9	687	68078
10	747	67181
11	805	66298
12	863	65565
13	921	64914
14	979	64329
15	1037	63794
16	1096	63384
17	1152	62895
18	1210	62486
19	1268	62156
20	1326	61842
21	1385	61574
22	1444	61340
23	1502	61098
24	1560	60844
25	1616	60560
26	1673	60294
27	1732	60141
28	1790	59940
29	1846	59718
30	1905	59546
31	1962	59374
32	2021	59221
33	2078	59056
34	2134	58840
35	2191	58683
36	2247	58495
37	2305	58365
38	2363	58249
39	2422	58150
40	2480	58010
41	2536	57857
42	2594	57740
43	2650	57592
44	2708	57489
45	2765	57359
46	2825	57284
47	2882	57177
48	2939	57052
49	2997	56949
50	3054	56839
51	3110	56706
52	3169	56630
53	3225	56510
54	3282	56403
55	3340	56319
56	3397	56213
57	3455	56116
58	3513	56045
59	3570	55938
60	3628	55856
61	3687	55790
62	3744	55696
63	3801	55593
64	3858	55507
65	3917	55438
66	3975	55353
67	4032	55266
68	4089	55180
69	4146	55083
70	4203	55005
71	4268	55011
72	4324	54918
73	4382	54835
74	4439	54751
75	4497	54681
76	4553	54584
77	4609	54492
78	4666	54405
79	4723	54323
80	4780	54243
81	4836	54145
82	4893	54066
83	4951	53994
84	5010	53936
85	5068	53866
86	5126	53793
87	5182	53710
88	5239	53633
89	5297	53568
90	5355	53495
91	5412	53421
92	5470	53353
93	5532	53324
94	5590	53259
95	5647	53184
96	5706	53126
97	5764	53058
98	5822	52989
99	5880	52921
100	5936	52842
101	5993	52769
102	6051	52698
103	6108	52625
104	6166	52565
105	6226	52511
106	6284	52446
107	6341	52372
108	6397	52298
109	6454	52220
110	6512	52155
111	6568	52082
112	6625	52008
113	6682	51938
114	6740	51872
115	6798	51806
116	6855	51737
117	6912	51670
118	6972	51621
119	7029	51549
120	7087	51486
121	7160	51529
122	7223	51505
123	7288	51493
124	7347	51431
125	7405	51365
126	7462	51294
127	7518	51216
128	7577	51161
129	7635	51101
130	7694	51041
131	7752	50976
132	7810	50915
133	7868	50849
134	7926	50787
135	7982	50713
136	8040	50649
137	8098	50583
138	8155	50514
139	8213	50452
140	8269	50379
141	8326	50307
142	8383	50239
143	8440	50171
144	8497	50108
145	8554	50040
146	8611	49967
147	8668	49901
148	8725	49833
149	8783	49771
150	8842	49717
151	8898	49646
152	8954	49572
153	9012	49510
154	9069	49442
155	9128	49385
156	9185	49318
157	9242	49254
158	9299	49188
159	9356	49122
160	9412	49051
161	9469	48982
162	9527	48921
163	9583	48854
164	9641	48792
165	9698	48728
166	9755	48662
167	9814	48603
168	9872	48545
169	9941	48540
170	9998	48472
171	10054	48402
172	10111	48338
173	10170	48279
174	10226	48212
175	10284	48150
176	10342	48088
177	10398	48021
178	10455	47954
179	10513	47894
180	10570	47832
181	10628	47768
182	10684	47699
183	10742	47638
184	10801	47583
185	10859	47523
186	10915	47457
187	10972	47392
188	11030	47330
189	11088	47269
190	11146	47212
191	11202	47145
192	11260	47083
193	11317	47019
194	11373	46952
195	11429	46886
196	11486	46821
197	11543	46757
198	11599	46689
199	11656	46627
200	11713	46562
201	11771	46504
202	11829	46442
203	11886	46381
204	11943	46319
205	12000	46255
206	12058	46194
207	12116	46135
208	12173	46073
209	12231	46012
210	12289	45955
211	12347	45895
212	12402	45825
213	12458	45760
214	12514	45692
215	12570	45625
216	12628	45567
217	12685	45506
218	12741	45440
219	12798	45377
220	12856	45318
221	12914	45257
222	12971	45197
223	13033	45151
224	13091	45091
225	13148	45029
226	13205	44969
227	13262	44907
228	13320	44846
229	13376	44783
230	13434	44723
